City,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
kroya,-7.6331,109.2461,86.79,57,4,12.62,ID,1618900483
arraial do cabo,-22.9661,-42.0278,73.9,78,30,27.31,BR,1618900487
cabo san lucas,22.8909,-109.9124,69.01,85,36,7.18,MX,1618900448
longyearbyen,78.2186,15.6401,28.4,69,75,12.66,SJ,1618900494
san patricio,28.017,-97.5169,60.8,82,75,1.7,US,1618900501
bengkulu,-3.8004,102.2655,83.5,72,68,6.29,ID,1618900504
rikitea,-23.1203,-134.9692,77.97,69,0,8.05,PF,1618900459
hobart,-42.8794,147.3294,48.0,81,75,18.41,AU,1618900492
ushuaia,-54.8,-68.3,39.2,93,20,3.44,AR,1618900514
upernavik,72.7868,-56.1549,0.66,72,100,4.88,GL,1618900518
mahebourg,-20.4081,57.7,84.2,74,75,3.44,MU,1618900521
mataura,-46.1927,168.8643,59.0,73,16,1.01,NZ,1618900465
sao desiderio,-12.3633,-44.9733,68.94,95,100,1.59,BR,1618900528
jamestown,42.097,-79.2353,42.8,87,90,9.22,US,1618900532
beihai,21.4833,109.1,81.46,73,88,12.26,CN,1618900535
vao,-22.6667,167.4833,75.06,73,36,15.82,NC,1618900539
airai,-8.9266,125.4092,67.14,71,85,1.21,TL,1618900542
saint-francois,46.4154,3.9054,41.0,87,9,3.04,FR,1618900546
mar del plata,-38.0023,-57.5575,66.99,94,0,12.66,AR,1618900415
hilo,19.7297,-155.09,73.4,73,40,4.61,US,1618900553
tilichiki,60.4667,166.1,26.98,91,100,2.48,RU,1618900556
clyde river,70.4692,-68.5914,5.0,85,90,13.8,CA,1618900560
qaanaaq,77.484,-69.3632,-4.99,72,79,8.5,GL,1618900563
alofi,-19.0595,-169.9187,78.8,83,40,8.05,NU,1618900567
east london,-33.0153,27.9116,59.0,94,20,4.61,ZA,1618900329
castro,-24.7911,-50.0119,54.25,92,97,5.99,BR,1618900574
vizinga,61.0749,50.1031,47.21,39,19,2.64,RU,1618900577
kodiak,57.79,-152.4072,41.0,93,90,14.97,US,1618900478
hamilton,39.1834,-84.5333,46.99,76,1,4.61,US,1618900570
elliot lake,46.3834,-82.6331,32.0,64,90,24.16,CA,1618900591
ambon,-3.6954,128.1814,89.6,66,40,8.05,ID,1618900594
saskylakh,71.9167,114.0833,8.17,83,30,1.63,RU,1618900598
nyurba,63.2842,118.3319,25.38,66,100,7.72,RU,1618900391
georgetown,5.4112,100.3354,87.8,74,20,8.05,MY,1618900496
iracoubo,5.4802,-53.2011,75.18,90,100,8.32,GF,1618900608
roblin,51.23,-101.3565,23.56,81,100,5.77,CA,1618900612
albany,42.6001,-73.9662,45.0,74,100,3.94,US,1618900373
codrington,-38.2667,141.9667,53.71,47,99,17.78,AU,1618900516
provideniya,64.3833,-173.3,32.0,59,0,4.47,RU,1618900622
mandaguari,-23.5475,-51.6708,64.4,82,0,4.61,BR,1618900625
atuona,-9.8,-139.0333,81.07,70,65,17.76,PF,1618900629
punta arenas,-53.15,-70.9167,44.6,70,20,25.32,CL,1618900523
diego de almagro,-26.3667,-70.05,57.76,57,99,3.67,CL,1618900636
busselton,-33.65,115.3333,70.0,65,97,3.0,AU,1618900384
yellowknife,62.456,-114.3525,24.8,86,20,9.22,CA,1618900643
cruzeiro do sul,-29.5128,-51.9853,59.0,96,4,1.21,BR,1618900646
victoria,22.2855,114.1577,81.0,54,20,11.5,HK,1618900363
tiksi,71.6872,128.8694,8.74,90,100,7.96,RU,1618900653
tuktoyaktuk,69.4541,-133.0374,21.2,93,75,14.97,CA,1618900660
mount gambier,-37.8333,140.7667,53.6,54,40,19.57,AU,1618900661
hermanus,-34.4187,19.2345,62.01,77,3,5.99,ZA,1618900667
avera,33.194,-82.5271,51.01,93,1,3.44,US,1618900670
dikson,73.5069,80.5464,7.07,84,81,12.68,RU,1618900674
voru,57.8339,27.0194,48.99,53,0,9.22,EE,1618900677
waddan,29.1614,16.139,61.38,47,0,13.42,LY,1618900684
cape town,-33.9258,18.4232,62.01,77,0,6.91,ZA,1618900633
havre-saint-pierre,50.2334,-63.5986,39.2,93,90,6.91,CA,1618900691
lalmohan,22.3384,90.7419,88.72,61,6,19.64,BD,1618900695
kudahuvadhoo,2.6708,72.8944,82.54,68,100,6.06,MV,1618900698
henties bay,-22.116,14.2845,82.99,37,2,3.0,NA,1618900702
pedro ii,-4.4247,-41.4586,65.43,98,100,1.88,BR,1618900477
neiafu,-18.65,-173.9833,80.6,74,20,9.22,TO,1618900708
taoudenni,22.6783,-3.9836,77.45,13,0,8.41,ML,1618900712
shetpe,44.1667,52.1167,70.74,34,100,10.63,KZ,1618900715
sisimiut,66.9395,-53.6735,21.42,73,100,5.14,GL,1618900729
luanda,-8.8368,13.2343,77.0,94,75,6.91,AO,1618900570
ossora,59.2353,163.0719,32.92,88,100,8.12,RU,1618900736
mayo,38.8876,-76.5119,48.99,93,1,7.38,US,1618900739
maltahohe,-24.8333,16.9833,66.56,30,0,10.31,NA,1618900743
kavaratti,10.5669,72.642,84.87,68,38,7.09,IN,1618900746
linxia,35.6003,103.2064,58.78,34,99,3.56,CN,1618900750
husavik,66.0449,-17.3389,32.0,74,75,10.16,IS,1618900667
cidreira,-30.1811,-50.2056,68.65,76,77,14.38,BR,1618900757
manzhouli,49.6,117.4333,66.61,15,91,21.34,CN,1618900751
aklavik,68.2191,-135.0107,28.4,80,73,10.36,CA,1618900764
batsfjord,70.6345,29.7185,46.4,65,0,18.41,NO,1618900767
conakry,9.538,-13.6773,80.6,89,20,2.3,GN,1618900771
upata,8.0086,-62.3989,75.0,87,100,5.01,VE,1618900502
labelle,26.7617,-81.4384,73.0,94,90,3.4,US,1618900778
bethel,41.3712,-73.414,44.01,87,1,2.53,US,1618900781
lodja,-3.4833,23.4333,70.14,98,100,4.36,CD,1618900785
hofn,64.2539,-15.2082,33.76,57,0,15.84,IS,1618900792
katobu,-4.9408,122.5276,84.02,65,94,4.85,ID,1618900795
ous,60.9058,61.5186,47.86,35,14,12.15,RU,1618900799
butaritari,3.0707,172.7902,82.0,79,100,11.21,KI,1618900802
le port,-20.9373,55.2919,86.0,66,0,8.05,RE,1618900806
verkhnyaya inta,65.9811,60.3094,34.25,98,100,15.73,RU,1618900809
moron,-34.6534,-58.6198,66.99,87,0,5.99,AR,1618900688
nanortalik,60.1432,-45.2371,32.54,75,99,4.65,GL,1618900816
neepawa,50.2289,-99.4664,26.6,74,90,8.05,CA,1618900547
high level,58.5169,-117.136,30.2,74,1,4.92,CA,1618900624
kulhudhuffushi,6.6221,73.07,83.88,74,62,7.65,MV,1618900826
hambantota,6.1241,81.1185,91.4,70,75,4.61,LK,1618900830
port macquarie,-31.4333,152.9167,69.8,56,100,8.05,AU,1618900833
eirunepe,-6.6603,-69.8736,70.97,99,95,3.04,BR,1618900840
souillac,-20.5167,57.5167,84.2,74,75,3.44,MU,1618900642
huarmey,-10.0681,-78.1522,67.51,88,18,7.54,PE,1618900847
maniitsoq,65.4167,-52.9,29.59,98,100,4.94,GL,1618900850
meulaboh,4.1363,96.1285,85.86,60,25,7.52,ID,1618900854
synya,65.3718,58.0387,39.34,74,71,8.63,RU,1618900858
namibe,-15.1961,12.1522,82.09,73,40,2.46,AO,1618900567
carutapera,-1.195,-46.02,72.54,95,98,3.42,BR,1618900761
hasaki,35.7333,140.8333,79.0,31,20,10.36,JP,1618900617
vila franca do campo,37.7167,-25.4333,62.6,88,75,11.5,PT,1618900871
narsaq,60.9167,-46.05,30.2,64,95,3.44,GL,1618900875
tezu,27.9167,96.1667,81.46,37,93,4.21,IN,1618900878
san quintin,30.4833,-115.95,59.22,85,7,7.18,MX,1618900867
kaseda,31.4167,130.3167,75.2,8,20,6.91,JP,1618900888
gotsu,35.0,132.2167,64.4,72,75,8.05,JP,1618900892
port hardy,50.6996,-127.4199,46.4,93,20,2.3,CA,1618900895
saint-philippe,-21.3585,55.7679,81.0,83,75,12.66,RE,1618900899
vaini,-21.2,-175.2,78.8,78,40,6.91,TO,1618900902
hobyo,5.3505,48.5268,86.31,61,100,8.52,SO,1618900909
biak,-0.9131,122.8766,81.66,72,100,2.24,ID,1618900697
bakchar,57.0186,82.0711,25.12,65,100,8.37,RU,1618900916
bluff,-46.6,168.3333,57.99,74,13,1.01,NZ,1618900923
nacala,-14.5428,40.6728,78.8,69,75,21.85,MZ,1618900926
avarua,-21.2078,-159.775,78.8,73,20,9.22,CK,1618900930
bay roberts,47.5999,-53.2648,37.99,93,100,4.0,CA,1618900934
richards bay,-28.783,32.0377,71.85,81,52,14.18,ZA,1618900937
ponta do sol,32.6667,-17.1,59.0,73,62,3.0,PT,1618900941
pevek,69.7008,170.3133,26.71,69,100,18.34,RU,1618900944
auki,-8.7676,160.7034,82.36,76,52,2.01,SB,1618900948
kautokeino,69.0125,23.0412,34.72,98,100,15.55,NO,1618900951
bredasdorp,-34.5322,20.0403,59.0,82,2,14.97,ZA,1618900955
severo-kurilsk,50.6789,156.125,36.75,92,25,15.05,RU,1618900958
cherskiy,68.75,161.3,36.39,73,100,17.02,RU,1618900962
leeuwarden,53.2014,5.8086,50.0,93,99,2.3,NL,1618900965
paungde,18.4833,95.5,101.7,24,0,4.59,MM,1618900969
geraldton,-28.7667,114.6,78.8,36,0,18.41,AU,1618900972
padang,-0.9492,100.3543,87.8,62,20,5.75,ID,1618900946
shingu,33.7333,135.9833,68.0,42,40,12.66,JP,1618900979
lebu,-37.6167,-73.65,57.79,88,100,14.16,CL,1618900809
antigonish,45.6169,-61.9986,37.99,95,75,1.01,CA,1618900986
saldanha,-33.0117,17.9442,60.8,72,0,4.03,ZA,1618900990
port alfred,-33.5906,26.891,66.15,77,100,21.09,ZA,1618900993
thompson,55.7435,-97.8558,21.2,63,90,8.05,CA,1618901000
ust-maya,60.4167,134.5333,26.76,86,100,9.28,RU,1618901004
batagay-alyta,67.8006,130.4114,13.77,90,100,10.31,RU,1618901008
nikolskoye,59.7035,30.7861,46.99,39,0,11.18,RU,1618901014
lorengau,-2.0226,147.2712,81.81,81,98,9.55,PG,1618901018
bom jesus da lapa,-13.255,-43.4181,68.67,95,73,2.75,BR,1618901021
kapaa,22.0752,-159.319,73.99,78,90,3.44,US,1618901025
lagoa,39.05,-27.9833,62.22,95,100,21.65,PT,1618901029
tasiilaq,65.6145,-37.6368,28.4,43,100,4.61,GL,1618901032
portland,45.5234,-122.6762,60.8,36,40,5.75,US,1618900359
muroto,33.2833,134.15,66.2,68,20,5.75,JP,1618901042
surt,31.2089,16.5887,61.75,51,0,2.91,LY,1618901046
ust-tsilma,65.441,52.1498,42.84,60,100,9.6,RU,1618901049
ribeira grande,38.5167,-28.7,64.4,94,75,19.57,PT,1618901053
tirur,10.9,75.9167,80.6,78,75,2.3,IN,1618901056
cockburn town,21.4612,-71.1419,78.49,84,0,18.41,TC,1618901060
olafsvik,64.8945,-23.7142,33.46,59,44,7.9,IS,1618901063
khatanga,71.9667,102.5,14.94,78,100,4.14,RU,1618901067
bandarbeyla,9.4942,50.8122,86.05,63,100,6.98,SO,1618901074
tautira,-17.7333,-149.15,80.01,78,75,4.61,PF,1618900893
plettenberg bay,-34.0527,23.3716,63.97,77,49,6.98,ZA,1618901081
saint george,37.1041,-113.5841,69.8,13,1,18.41,US,1618901087
pyaozerskiy,65.8333,31.1667,41.22,84,100,6.31,RU,1618901091
new norfolk,-42.7826,147.0587,48.0,66,100,3.0,AU,1618901095
curillo,1.0333,-75.9191,69.69,98,95,1.54,CO,1618901098
sola,-13.8833,167.55,83.37,76,44,11.65,VU,1618901102
mareeba,-17.0,145.4333,75.99,94,40,4.61,AU,1618901105
muzhi,65.3667,64.6667,33.66,92,100,23.02,RU,1618901109
benguela,-12.5763,13.4055,81.99,73,70,2.8,AO,1618901112
srednekolymsk,67.45,153.6833,35.56,97,100,8.16,RU,1618901116
walvis bay,-22.9575,14.5053,82.99,37,0,3.0,NA,1618901119
cururupu,-1.8283,-44.8683,71.65,97,100,2.01,BR,1618901126
labuhan,-6.8844,112.2051,84.99,61,85,5.95,ID,1618901131
krutinka,56.0055,71.5113,30.79,32,9,10.89,RU,1618901134
kakogawa,34.7667,134.85,66.2,63,0,10.36,JP,1618901141
kavieng,-2.5744,150.7967,83.21,74,50,7.02,PG,1618901145
san jeronimo,-11.9472,-75.2829,44.35,88,100,0.38,PE,1618901148
delano,35.7688,-119.247,69.8,45,1,4.5,US,1618901152
santa maria,-29.6842,-53.8069,55.81,96,0,5.7,BR,1618901085
sovetskiy,61.3614,63.5842,43.56,56,20,14.52,RU,1618901159
coihaique,-45.5752,-72.0662,42.24,94,100,2.15,CL,1618901162
tacuarembo,-31.7333,-55.9833,54.73,95,0,5.68,UY,1618901166
udachnyy,66.4167,112.4,17.42,48,100,1.28,RU,1618901169
buraydah,26.326,43.975,82.4,32,0,2.3,SA,1618900930
banda aceh,5.5577,95.3222,85.69,63,100,9.26,ID,1618901180
wangqing,43.3218,129.7634,63.46,12,1,12.75,CN,1618901183
gamba,-2.65,10.0,76.6,82,100,5.01,GA,1618901187
inta,66.0317,60.1659,34.75,98,97,15.08,RU,1618901190
esna,25.2934,32.554,89.6,19,0,3.44,EG,1618901194
galesong,-5.3166,119.3661,89.6,70,40,6.91,ID,1618901197
salinopolis,-0.6136,-47.3561,75.09,91,100,5.37,BR,1618900998
tomari,47.7658,142.0683,33.96,99,100,8.55,RU,1618901207
qasigiannguit,68.8193,-51.1922,8.6,61,100,1.14,GL,1618901211
lasa,46.6166,10.7002,46.0,86,40,6.91,IT,1618901214
chokurdakh,70.6333,147.9167,21.18,90,100,13.06,RU,1618901218
torrington,41.8007,-73.1212,45.0,95,6,1.01,US,1618901222
north bend,43.4065,-124.2243,51.01,87,100,5.75,US,1618901041
hithadhoo,-0.6,73.0833,83.03,64,95,4.65,MV,1618901232
sepuka,-4.75,34.5333,64.53,80,100,9.31,TZ,1618901235
sobolevo,54.4299,31.8996,39.43,95,100,10.56,RU,1618901239
iqaluit,63.7506,-68.5145,6.8,92,75,1.81,CA,1618901242
esperance,-33.8667,121.9,64.4,82,75,10.36,AU,1618901246
puerto madero,14.7208,-92.4215,80.6,83,20,3.89,MX,1618901249
santa rosa,14.3122,121.1114,88.0,70,75,17.27,PH,1618901253
frankfort,-27.2667,28.4833,59.16,57,2,12.91,ZA,1618901008
cap malheureux,-19.9842,57.6142,86.0,69,56,1.99,MU,1618901260
naze,28.3667,129.4833,73.4,53,20,11.5,JP,1618901263
los llanos de aridane,28.6585,-17.9182,64.4,72,20,10.36,ES,1618901267
puerto ayora,-0.7393,-90.3518,75.99,97,100,1.01,EC,1618901270
oviedo,43.3603,-5.8448,53.01,91,100,1.99,ES,1618901274
makasar,-5.14,119.4221,89.6,70,40,6.91,ID,1618901213
trinidad,-14.8333,-64.9,71.37,98,84,2.35,BO,1618901281
mercedes,-34.6515,-59.4307,63.0,92,0,4.0,AR,1618901284
ust-kulom,61.6864,53.6902,44.69,46,84,7.54,RU,1618901288
dingle,10.9995,122.6711,88.12,53,100,12.21,PH,1618901291
clearlake,38.9582,-122.6264,54.0,50,92,5.77,US,1618901295
asau,46.4333,26.4,45.0,66,100,2.82,RO,1618901298
kaitangata,-46.2817,169.8464,52.84,77,100,2.1,NZ,1618901302
formosa,-26.1775,-58.1781,68.0,94,0,4.61,AR,1618901306
san rafael,-34.6177,-68.3301,68.41,70,76,9.6,AR,1618901312
lubao,14.9167,120.55,93.2,52,90,9.22,PH,1618901316
durazno,-33.4131,-56.5006,55.85,96,0,8.88,UY,1618901319
san cristobal,7.7669,-72.225,67.03,70,100,3.36,VE,1618901326
leningradskiy,69.3833,178.4167,21.13,84,18,7.9,RU,1618901330
dalvik,65.9702,-18.5286,32.0,74,75,4.99,IS,1618901333
